CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,155,-18,47,-,"3,205.00",-106.90,75,"3,152.50","3,226.40",75,"22,600.00","2,22,150",0.70,0.75,"16,950",-0.40,0.75,44.86,"1,35,097","3,508","63,439",
,-,-,-,-,-,-,150,"3,120.85","3,207.60",150,"22,650.00","1,47,600",0.65,0.70,"2,475",-0.45,0.70,43.90,"82,621","5,060","6,863",
,33,-,1,74.15,"3,160.00",-290.00,150,"3,059.90","3,134.75",75,"22,700.00","1,800",1.05,1.20,"1,800",-0.05,1.15,45.35,"63,340","3,006","18,009",
,-,-,-,-,-,-,150,"3,031.55","3,114.70",150,"22,750.00","2,475",0.85,1.05,450,-0.45,0.85,43.34,"6,029",263,640,
,"1,030",-178,186,-,"3,013.90",-164.30,150,"2,995.85","3,019.10",75,"22,800.00","3,600",0.90,1.05,"88,875",-0.35,0.90,42.89,"62,653","2,406","19,485",
,4,-,-,-,"3,067.65",-,150,"2,921.05","2,989.60",150,"22,850.00",300,0.90,1.15,75,-0.55,0.75,41.47,"2,643",50,322,
,1,-,-,-,"2,857.10",-,150,"2,881.35","2,939.65",150,"22,900.00",900,0.95,1.45,900,-0.30,0.95,41.75,"68,960","7,144","10,399",
,2,-,-,-,"2,952.35",-,150,"2,835.30","2,900.50",150,"22,950.00","1,07,250",0.80,0.85,750,-0.35,0.85,40.61,"35,813","1,940","3,406",
,"8,409","-1,346","1,835",-,"2,820.00",-148.65,150,"2,799.30","2,818.75",75,"23,000.00",600,1.10,1.20,"1,800",-0.10,1.15,41.16,"82,617","2,694","34,698",
,1,-,-,-,"2,708.50",-,150,"2,726.35","2,812.85",150,"23,050.00",900,1.10,1.40,"1,050",-0.25,1.10,40.28,"16,484",-,885,
